Product name,Product number,Product price,Product description,Product url
2 Series Fixed Fairlead/ Ball Bearing,200-31,$52.25,"2 Series fixed fairlead block.  Low profile keeps control lines and halyards close to the deck.  Delrin(tm) ball bearing sheave ensures low-friction and high strength.  Sheave Dia. 1-1/16 (27 mm), Max Line 5/16"" (8 mm), Length 1-5/8"" (41 mm), Width 19/32"" (15 mm), Height 1-17/32"" (39 mm), Bearing Height 9/16"" (14 mm), Fasteners (2), #10 RH (5 mm), C/C 1-1/4"" (32 mm), SWL 500 lbs. (225 kg), Weight 1.0 oz. (28 g)",https://hardware.schaefermarine.com/collections/blocks/products/2-series-fixed-fairlead-ball-bearing-200-31
"Spr. Loaded S.S. Block on Slide for 3/4"" T-Track",03-72,$231.20,"Track Size 3/4"" x 1/8"" (19 mm x 3 mm), Boat Size Up To LOA, Displ., Sail Area: 20', 2000 lbs., 225 sq. ft. (6 m, 910 kg, 21 m2), Sheave Dia. 1-7/16"" (40 mm), Max Line 7/16"" (11 mm), L 2-1/2"" (64 mm), W 31/32"" (25 mm), H 3-17/32"" (90 mm), Bearing Height 2-5/32"" (55 mm), SWL 1000 lbs. (450 kg), Weight 4.5 oz. (128 g)",https://hardware.schaefermarine.com/collections/blocks/products/spr-loaded-s-s-block-on-slide-for-3-4-t-track-03-72
2 Series Curved/Base Sng/Delrin,200-30,$64.15,"200-30 Ball bearing cheek block.  Curved base fits up to 2"" diameter spars.  Delrin(tm) ball bearing sheave ensures low friction.  Stainless steel cheek and base provide high safe working load. Sheave Dia. 1-1/16"" (27 mm), Max Line 5/16"" (8 mm), L 3-1/2"" (89 mm), W 1"" (25 mm), H 21/32"" (17 mm), Fasteners (4) #10 RH (5 mm), C/C 3"" (76 mm), SWL 900 lbs. (410 kg), Weight Stain. 1.5 oz. (42 g)",https://hardware.schaefermarine.com/collections/blocks/products/2-series-curved-base-sng-delrin-200-30
5 Series Flat Base/Alum Cheek/Delrin Sheave,504-11,$98.90,"5 Series Cheek Block with anodized Aluminum cheek. Delrin(tm) sheave ensures smooth operation and high safe working load. Stainless steel base distributes loads to a large surface area. Sheave Dia. 2"" (51 mm), Max Line 7/16"" (11 mm), Length 3-5/8"" (92 mm), Width 2-7/32"" (57 mm), Height 7/8"" (22 mm), Fasteners (4) #10 RH (5 mm), C/C 3"" (76 mm), SWL 1750 lbs. (795 kg), Weight 5.9 oz. (167g), Max Line 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-flat-base-alum-cheek-delrin-sheave-504-11
"Backing Plate for 504-62, 505-62, 506-62",97-48,$19.50,"Backing Plate for 506-62, 504-62 and 505-62",https://hardware.schaefermarine.com/collections/blocks/products/backing-plate-for-504-62-505-62-506-62-97-48
Fixed Fairlead/ Ball Bearing,300-31,$58.30,"3 Series fixed fairlead block. Low profile keeps control lines and halyards close to the deck. Delrin(tm) ball bearing sheave ensures low-friction and high strength.  Sheave Dia. 1-7/16"" (37 mm), Max Line 7/16"" (11 mm), Length 7/16"" (11 mm), Width 3/4"" (19 mm), Height 1-31/32"" (50 mm), Bearing Height 5/8"" (16 mm), Fasteners (2), #10 RH (5 mm), C/C 1-3/4"" (44 mm), SWL 1000 lbs. (454 kg), Weight 2.2 oz. (62 g)",https://hardware.schaefermarine.com/collections/blocks/products/fixed-fairlead-ball-bearing-300-31
3 Series Curved/Base Sng/Delrin,03-30,$59.10,"03-30 Stainless Steel cheek block with curved base.  Fits spar diameters up to 2"".  Delrin(tm) plain bearing sheave ensure high safe working load and is good for static loads.   Sheave Dia. 1-7/16"" (37 mm), Max Line 7/16"" (11 m), L 3-11/16"" (949 mm), W 1"" (25 mm), H 3/4"" (19 mm), Fasteners (4) #10 RH (5 mm), C/C 3-3/16"" (94 mm), SWL 1000 lbs. (450 kg), Weight Stain. 2.2 oz. (62 g), Weight Alum. 2.1 oz. (59 g)",https://hardware.schaefermarine.com/collections/blocks/products/3-series-curved-base-sng-delrin-03-30
3 SeriesFlat Base/SS Cheek/Delrin Sheave,30-27,$98.60,"3 Series Cheek Block with Stainless Steel cheek and base.  Delrin(tm) sheave ensures smooth operation and high safe working load.  Stainless Steel base distributes loads to a large surface area.   Sheave Dia. 1-7/16"" (37 mm), Max Line 7/16"" (11 m), Length 2-7/8"" (73 mm), Width 1-3/4"" (44 mm), H 3/4"" (19 mm), Fasteners (4) #10 RH (5 mm), C/C 2-3/8"" (60 mm), SWL 1000 lbs. (450 kg), Weight Stain. 2.6 oz. (74 g)",https://hardware.schaefermarine.com/collections/blocks/products/3-seriesflat-base-ss-cheek-delrin-sheave-30-27
Single Aluminum Block,504-05,$82.85,"Single block with anodized aluminum cheeks.  Delrin(tm) sheave ensures smooth operation with high safe working load.  Swivel head may be locked in place to avoid twist.  Sheave Dia. 2"" (51mm), Thickness 15/16"" (24mm), Width 2 1/8"" (54mm), Length 4 13/32"" (112mm), SWL 1750 lbs. (795kg), Weight 5oz. (142g), Max Line size 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-aluminum-block-504-05
Clamp On Furling Block,300-34,$81.50,"300-34 Clamp on Furling lead block.  Delrin(tm) ball bearing sheave allows for quick and easy furling line adjustment.  Stainless steel cage and strap ensure durability.  First stanchions 1"" (25mm) in diameter.  1-7/16"" (37mm) Sheave Diameter, Maximum 7/16"" (10mm) line size. Safe Working Load = 1000 lbs (450kg)",https://hardware.schaefermarine.com/collections/blocks/products/clamp-on-furling-block-300-34
Pulpit Furling Lead,300-35,$163.75,"300-35 Pulpit Furling Lead.  Stainless Steel spring keeps block supported. Delrin(tm) ball bearing sheave ensures low-friction lead for your furling line.  Fits 1"" (25mm) stanchions.   Length 4-11/32"" (111mm), Width 1-9/16""(40mm), Safe Working Load 1000 lbs (450kg), Weight 4 oz (113g), Max line size 7/16"" (11mm), Sheave diameter 1-7/16"" (37mm)",https://hardware.schaefermarine.com/collections/blocks/products/pulpit-furling-lead-300-35
Curved/Base Sng/Delrin,30-04,$66.35,"2 Series Aluminum cheek with curved base cheek block.  Curved base fits spar diameters up to 2"".  Delrin(tm) plain bearing ensures high safe working load and is good for static loads.   Sheave Dia. 1-1/16"""" (27 mm), Max Line 5/16"" (8 mm), L 3-1/2"" (89 mm), W 1"" (25 mm), H 21/32"" (17 mm), Fasteners (4) #10 RH (5 mm), C/C 3"" (76 mm), SWL 900 lbs. (410 kg), Weight Stain. 1.5 oz. (42 g).",https://hardware.schaefermarine.com/collections/blocks/products/curved-base-sng-delrin-30-04
Stand-Up Swivel,03-62,$149.20,"Stand up spring block with Stainless Steel cheeks.  Delrin(tm) sheave ensures smooth operation and high safe working load.  Separate backing plate #97-60.  Sheave Dia.1-7/16"" (37 mm), Max Line 7/16"" (11 mm), Dia. includes urethane base 2"" (51 mm), Height 3-17/32"" (89 mm), H2 2-5/32"" (55 mm), Fastener Size (3), #10 RH (5 mm), C/C 1-13/32"" (26 mm), SWL 1000lbs (450 kg), Weight Stain. 3.5 oz (99 g)",https://hardware.schaefermarine.com/collections/blocks/products/stand-up-swivel-03-62
Single Lashing Eye,01-02,$28.30,"Sheave Dia. Thickness 3/4"" (19mm), Thickness 15/32"" (12mm), Width7/8"" (22mm), Length 1 13/32"" (35mm), SWL 750 lbs (340kg), Weight 1 oz. (28g) Max Line 1/4"" (6mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-lashing-eye-01-02
3 Series Flat Base/Alum Cheek/Delrin Sheave,303-09,$80.30,"3 Series Cheek Block with anodized Aluminum cheek.  Delrin(tm) plain bearing sheave ensures smooth operation and high safe working load.  Stainless Steel base distributes loads to a larger surface area.   Sheave Dia. 1-7/16"" (37 mm), Max Line 7/16"" (11 m), Length 2-7/8"" (73 mm), Width 1-3/4"" (44 mm), Height 3/4"" (19 mm), Fasteners (4) #10- RH (5 mm), C/C 2-3/8"" (60 mm), SWL 1000 lbs. (450 kg), Weight Alum. 2.5 oz. (71 g)",https://hardware.schaefermarine.com/collections/blocks/products/3-series-flat-base-alum-cheek-delrin-sheave-303-09
"Backing Plate for 02-62, 03-62, 303-62 and 300-62",97-60,$20.85,"SS Backing plate for 02-62, 03-62, 300-62 and 303-62",https://hardware.schaefermarine.com/collections/blocks/products/backing-plate-for-02-62-03-62-303-62-and-300-62-97-60
2 Series Halyard Lift Turning Block / Delrin,02-50,$82.90,"02-50 Halyard/Control Block.  Delrin(tm) sheave ensures smooth operation and high strength.  Stainless steel cheeks and base provide a solid platform.  Sheave Dia. 1-1/16"", (27 mm), Max Line 5/16"", (8 mm), Jaw Opening 1-9/32"", (35 mm), Pin. Dia. 1-13/32"", (35 mm), Length 1-11/16"", (43 mm), Width 21/32"", (17 mm), Uses (4) #10 RH (5 mm), C/C Length 1"", (25 mm), C/C Across 1"", (25 mm), SWL 900 lbs. (410 kg)",https://hardware.schaefermarine.com/collections/blocks/products/2-series-halyard-lift-turning-block-delrin-02-50
3 Series Halyard Lift Turning Block / Delrin,03-50,$84.10,"03-50 Halyard/Control block.  Delrin(tm) sheave ensures smooth operation and high safe working load.  Stainless cheeks and base provide a solid platform.  Sheave Dia. 1-7/16, (37 mm), Max Wire 7/16, (11 mm), Jaw Opening 1-3/4, (44 mm), Pin. Dia. 1-5/8, (41 mm), Length 1-31/32, (50 mm), Width 19/32, (15 mm), Thickness (4), #10 RH (5 mm), C/C Length 1-5/32, (29 mm), C/C Across 1-5/16, (33 mm), SWL 1000 lbs. (454 kg)",https://hardware.schaefermarine.com/collections/blocks/products/3-series-halyard-lift-turning-block-delrin-03-50
Aluminum Fiddle Block,504-45,$173.60,"Fiddle block with anodized aluminum cheeks. Works with 504-75 or 504-76 for a 4:1 purchase. Delrin(tm) sheaves ensure smooth operation and high safe working load.Sheave Dia. 2"" (51mm), Thickness 15/16"" (24mm), Width 2 3/8"" (60mm), Length 6 7/16"" (163mm), SWL 1750 lbs. (795kg), Weight 11.3oz (320g), Max Line 7/16"" (11mm)",https://hardware.schaefermarine.com/collections/blocks/products/aluminum-fiddle-block-504-45
"Spr. Loaded/Lined Slide/S.S. for 1"" T-Track",03-86,$243.75,"03-86 Spring loaded block for 1"" T-Track. Delrin(tm) sheave ensures smooth operation and high safe working load. Stainless Steel cheeks and Stainless Steel slider provide a strong and reliable block. Pin stop allows for easy adjustment. Track Size 1"" x 1/8"" (25 mm x 3 mm), Boat Size Up To LOA, Displ., Sail Area: 27', 5000 lbs., 315 sq. ft (8 m, 2270 kg, 29 m2), Sheave Dia. 1-7/16"" (40 mm), Max Line 7/16"" (11 mm), L 3"" (76 mm), W 1-1/4"" (31 mm), H 3-17/32"" (90 mm), Bearing Height 2-5/32"" (55 mm), SWL 1000 lbs. (450 kg), Weight 4.5 oz. (128 g)",https://hardware.schaefermarine.com/collections/blocks/products/spr-loaded-lined-slide-s-s-for-1-t-track-03-86
Single Stainless Block with Swivel Shackle,03-05,$82.85,"Single block with Stainless Steel cheeks and swivel shackle.  Delrin(tm) sheave ensures smooth operation and high safe working load.  Sheave Dia. 1 7/16"", Thickness 3/4"" (19mm), Width 1 9/16"" (40mm), Length 3 25/32"" (96mm), SWL 1000 lbs (410 kg), Weight 2.7oz. (76g), Max Line 7/16"" (8mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-stainless-block-with-swivel-shackle-03-05
3 Series Over The Top Single/ BB,300-40,$103.20,"3 Series Single Over the Top Block.  Stainless Steel cage and base provide a solid platform for clean leads.  Delrin(tm) ball bearing sheave ensure low-friction and high safe working loads.  Sheave Dia. 1-7/16"" (37 mm), Max line 7/16"" (11 mm), L 2-11/32"" (60 mm), W 2"" (51 mm), H 2-11/32"" (60 mm), Bearing Height 1-13/32"" (36 mm), Fastners (6), #10 RH (5 mm), C/C 1-25/32"" (45 mm), SWL 650 lbs. (295 kg), Weight 4.7 oz. (133 g)",https://hardware.schaefermarine.com/collections/blocks/products/3-series-over-the-top-single-bb-300-40
5 Series Cheek Pad adapts to spars.,55-60,$39.00,"5 Series cheek block pad.  Urethane material allows any 5 series cheek block a solid fit to a spar that measures 2-1/2"" to 6"" dia. Spar section. (64mm-152mm), Weight 1.5 oz (43 g)",https://hardware.schaefermarine.com/collections/blocks/products/5-series-cheek-pad-adapts-to-spars-55-60
Single Aluminum Block,704-05,$125.60,"Single block with aluminum cheeks.  Delrin(tm) sheave ensures smooth operation and a high safe working load.  Swivel head may be locked in place to eliminate twisting.  Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 2 1/2"" (64mm), Length 5 1/32"" (128mm), SWL 2250 lbs. (1020kg), Weight 7.4oz (210g), Max Line size 1/2"" (13mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-aluminum-block-704-05
"Spr. Loaded Alum Block on Slider for 3/4"" T-Track",303-72,$230.10,"303-72 Stand up spring block for 3/4"" T-Track.  Delrin(tm) sheave ensures smooth lead and high safe working load.  Anodized Aluminum cheeks and Stainless Steel slider provide a strong, reliable block.  Spring pin allows easy adjustment.  Track Size 3/4"" x 1/8"" (19 mm x 3 mm), Boat Size Up To LOA, Displ., Sail Area: 20', 2000 lbs., 225 sq. ft. (6 m, 910 kg, 21 m2), Sheave Dia. 1-7/16"" (40 mm), Max Line 7/16"" (11 mm), L 2-1/2"" (64 mm), W 31/32"" (25 mm), H 3-17/32"" (90 mm), Bearing Height 2-5/32"" (55 mm), SWL 1000 lbs. (450 kg), Weight 4.0 oz. (113 g)",https://hardware.schaefermarine.com/collections/blocks/products/spr-loaded-alum-block-on-slider-for-3-4-t-track-303-72
3 Series Over The Top Double/ BB,300-41,$169.30,"3 Series Double Over the Top Block.  Stainless Steel cage and base provide a solid platform for clean leads.  Delrin(tm) ball bearing sheaves ensure low-friction and high safe working loads.  Sheave Dia. 1-7/16"" (37 mm), Max line 7/16"" (11 mm), L 2-11/32"" (60 mm), W 2-11/16"" (68 mm), H 2-11/32"" (60 mm), Bearing Height 1-13/32"" (36 mm), Fastners (6), #10 RH (5 mm), C/C 1-25/32"" (45 mm), SWL 650 lbs. (295 kg), Weight 7.2 oz. (204 g)",https://hardware.schaefermarine.com/collections/blocks/products/3-series-over-the-top-double-bb-300-41
7 Series Halyard Lift Turning Block / Delrin,704-60,$136.45,"704-60 Halyard/Control block. Delrin(tm) sheave ensures smooth operation and high strength. Anodized aluminum cheeks and Stainless steel base provide solid platform. Block is mounted to bisect load angle for maximum tensile strength. Sheave Dia. 2-3/8, (60 mm), Max Wire 5/8 (16 mm), Jaw Opening 2-9/16, (65 mm), Pin. Dia. 2-11/32, (59 mm), Length 3-3/16, (81 mm), Width 15/16, (24 mm), T (4), 1/4, RH (6 mm), C/C Length 1-15/16, (49 mm), C/C Across 1-3/4, (44 mm), SWL 2250 lbs. (1020 kg). 8.1 oz.",https://hardware.schaefermarine.com/collections/blocks/products/7-series-halyard-lift-turning-block-delrin-704-60
Single Block with Swivel Shackle,01-05,$58.35,"Sheave Dia. Thickness 3/4"" (19mm), Thickness 15/32"" (12mm), Width 7/8"" (22mm), Length 2 19/32"" (66mm), SWL 750 lbs (340kg), Weight 1 oz. (28g) Max Line 1/4"" (6mm)",https://hardware.schaefermarine.com/collections/blocks/products/single-block-with-swivel-shackle-01-05
Wire Block/Alum.,33-05,$203.95,"33-05 Stainless Steel wire block with aluminum sheave. Aluminum sheave runs on our Nomex(tm)/Teflon(tm) bearing for low friction and high safe working load.Sheave Dia. 2"" (51 mm), Max Wire 3/16"" (5 mm), ---, Pin dia. 1/4"" 6 mm), L 3-25/32"" (96 mm), W 2-1/8"" (54 mm), T 17/32"" (14 mm), SWL 1750 lbs. (795 kfg), Weight 3 oz. (85 g), Max Wire 3/16"" (5mm)",https://hardware.schaefermarine.com/collections/blocks/products/wire-block-alum-33-05
Stainless Steel Single Block,08-05,$294.90,"Sheave Dia. 2 3/8"" (60mm), Thickness 1 3/32"" (28mm), Width 2 3/8"" (60mm), Length 5 5/8"" (143mm), SWL 2750 lbs (1250kg), Weight 12oz (340g), Max Line 9/16"" (14mm)",https://hardware.schaefermarine.com/collections/blocks/products/stainless-steel-single-block-08-05
